Code,Date,Open,High,Low,Close,Volume
ABC003500379,01/02/00,3580.29,3703.59,3544.93,3701.78,13982400
ABC003500379,02/02/00,3700.20,3785.36,3693.95,3724.46,15278800
ABC003500379,03/02/00,3726.13,3857.34,3704.23,3851.16,17223300
ABC003500379,04/02/00,3858.60,3929.81,3856.83,3874.37,17514500
ABC003500379,07/02/00,3873.43,3933.75,3858.89,3933.34,16255400
ABC003500379,08/02/00,3932.24,4063.79,3932.24,4062.77,19711800
ABC003500379,09/02/00,4061.74,4087.84,3966.33,3968.46,17755900
ABC003500379,10/02/00,3974.83,4090.07,3956.90,4090.00,18135900
ABC003500379,11/02/00,4090.26,4090.26,3933.78,3968.89,17385900
ABC003500379,14/02/00,3969.95,4005.59,3918.87,3986.13,16008500
ABC003500379,15/02/00,3983.85,4024.13,3848.37,3997.03,17089300
ABC003500379,16/02/00,3997.03,4063.58,3982.55,3997.97,17821300
ABC003500379,17/02/00,4012.29,4127.35,3993.57,4125.38,20084400
ABC003500379,18/02/00,4130.55,4135.60,3959.83,3965.75,18984100
ABC003500379,21/02/00,3965.75,3965.75,3965.75,3965.75,0
ABC003500379,22/02/00,3970.53,4001.07,3856.02,3969.13,17722900
ABC003500379,23/02/00,3966.00,4198.16,3966.00,4170.09,18928000
ABC003500379,24/02/00,4169.66,4253.75,4099.39,4253.05,19440500
ABC003500379,25/02/00,4254.56,4297.46,4169.34,4178.58,18255000
ABC003500379,28/02/00,4178.58,4224.95,4024.08,4162.13,17980700
ABC003500379,29/02/00,4174.75,4269.76,4174.75,4266.94,20888400
ABC003500379,01/03/00,4275.72,4346.41,4269.66,4309.01,22323400
ABC003500379,02/03/00,4311.97,4337.65,4197.98,4234.26,21370800
ABC003500379,03/03/00,4257.53,4442.87,4257.53,4442.87,21365300
ABC003500379,06/03/00,4448.48,4528.69,4436.60,4457.18,20155800
ABC003500379,07/03/00,4489.49,4560.96,4355.61,4390.83,21564100
ABC003500379,08/03/00,4409.98,4470.28,4266.87,4445.68,20201300
ABC003500379,09/03/00,4446.48,4587.55,4379.60,4586.26,20068100
ABC003500379,10/03/00,4586.26,4659.72,4549.07,4587.16,19921700
ABC003500379,13/03/00,4585.16,4585.16,4387.74,4426.80,17362700
ABC003500379,14/03/00,4448.63,4537.99,4226.79,4226.99,19778200
ABC003500379,15/03/00,4250.74,4341.54,4094.04,4130.01,19378000
ABC003500379,16/03/00,4141.23,4353.59,4049.98,4353.33,20415100
ABC003500379,17/03/00,4349.26,4441.00,4326.76,4440.45,16915300
ABC003500379,20/03/00,4443.35,4460.37,4260.92,4261.15,15398600
ABC003500379,21/03/00,4259.58,4450.41,4155.34,4449.33,17533100
ABC003500379,22/03/00,4449.22,4639.12,4449.22,4596.81,17695100
ABC003500379,23/03/00,4594.37,4704.21,4547.00,4660.62,17141600
ABC003500379,24/03/00,4659.76,4816.35,4608.92,4691.61,16889700
ABC003500379,27/03/00,4687.60,4781.19,4687.60,4704.73,13803800
ABC003500379,28/03/00,4705.75,4714.35,4582.45,4583.39,14900900
ABC003500379,29/03/00,4583.81,4615.09,4408.60,4413.92,17382700
ABC003500379,30/03/00,4376.41,4491.08,4151.12,4250.19,19258600
ABC003500379,31/03/00,4268.64,4424.43,4171.09,4397.84,21181000
ABC003500379,03/04/00,4355.70,4355.70,4041.24,4077.02,17399200
ABC003500379,04/04/00,4089.78,4146.50,3525.44,4034.17,28891000
ABC003500379,05/04/00,4028.40,4156.43,3884.32,4030.26,19477000
ABC003500379,06/04/00,4036.39,4161.42,4005.31,4086.73,17464500
ABC003500379,07/04/00,4111.18,4292.88,4111.18,4291.53,15634300
ABC003500379,10/04/00,4293.63,4308.62,3998.10,3998.26,14461400
ABC003500379,11/04/00,3987.24,4049.55,3829.39,3909.21,16793900
ABC003500379,12/04/00,3909.00,3943.68,3632.41,3633.63,19210900
ABC003500379,13/04/00,3645.79,3831.70,3552.51,3553.81,19515000
